order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  468	 200	20.5	  15.4138	 6.3081
 1	  581	 199	16.7	  15.7944	 5.3705
 2	 1048	 218	21.8	  15.9001	 6.1539
 3	 1222	 206	22.3	  16.1854	 6.0020
 4	 1310	 210	19.9	  16.1869	 5.5130
 5	 1603	 214	21.6	  15.8425	 5.6983
 6	 1803	 197	24.0	  15.9499	 5.6828
 7	 1956	 181	23.9	  15.4731	 5.8738
 8	 2011	 178	21.1	  16.0862	 6.0991
 9	 1998	 147	17.3	  16.1629	 5.6035
10	 2516	 189	20.5	  15.8415	 6.1371
11	 2875	 186	20.9	  15.8208	 5.6258
12	 3057	 163	22.4	  15.6927	 7.0404
13	 3106	 136	22.5	  15.8502	 6.1951
14	 3330	 130	17.7	  16.0538	 5.8940
15	 3361	 131	17.8	  15.9321	 6.0369
16	 3662	 126	16.0	  15.9680	 5.5575
17	 3496	 138	15.9	  16.1729	 5.7854
18	 4090	 106	22.6	  15.9305	 6.0572
19	 4529	 128	20.7	  16.0054	 5.9673
20	 4553	 128	19.7	  15.3319	 6.0942
21	 5314	 124	22.0	  15.7380	 7.5962
22	 5240	 121	23.6	  16.0882	 6.2290
23	 5274	 120	22.1	  16.0295	 6.6221
24	 5440	 102	25.2	  16.0240	 6.4901
25	 5710	  90	20.2	  15.6011	 6.6447
26	 6002	  84	21.0	  15.7586	 6.6660
27	 6447	  85	16.2	  15.7521	 6.4175
28	 6475	  60	13.9	  16.2864	 6.3965
29	 6753	  56	12.1	  15.6529	 6.9574
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7788	  37	17.8	  15.7124	 6.1715
32	 7658	  85	17.3	  15.8920	 5.7890
33	 8509	  51	17.2	  15.8434	 6.1843
34	 7808	  42	18.1	  15.7143	 6.8391
35	 6630	  13	24.0	  15.6147	 6.3425
36	 8112	  26	10.2	  15.7414	 7.0278
37	 8069	  53	11.0	  15.9469	 6.3767
38	    0	   0	 0.0	   0.0000	 0.0000
