order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  204	 200	19.2	  15.4230	 6.2095
 1	  248	 199	15.5	  15.8362	 5.3299
 2	  439	 218	21.8	  15.8908	 6.0796
 3	  512	 206	22.1	  16.1900	 5.9316
 4	  551	 210	20.0	  16.2614	 5.4271
 5	  677	 214	21.6	  15.9066	 5.7171
 6	  759	 197	24.0	  16.0963	 5.6194
 7	  828	 181	23.5	  15.6483	 5.8453
 8	  850	 178	20.9	  16.0608	 6.0625
 9	  847	 147	17.2	  16.2296	 5.5475
10	 1069	 189	20.5	  15.9410	 6.1101
11	 1218	 186	20.9	  15.9589	 5.6008
12	 1298	 163	22.0	  15.7912	 6.9754
13	 1319	 136	22.4	  15.8839	 6.2767
14	 1420	 130	17.6	  16.1193	 5.9787
15	 1445	 131	17.7	  15.8595	 6.1327
16	 1581	 126	15.8	  15.9339	 5.5620
17	 1514	 138	15.6	  16.0947	 5.7887
18	 1768	 106	22.5	  15.8867	 5.9626
19	 1958	 128	20.1	  16.0713	 5.9160
20	 1979	 128	19.5	  15.3873	 6.0520
21	 2305	 124	21.7	  15.8074	 7.7064
22	 2278	 121	23.3	  16.2170	 6.2289
23	 2294	 120	21.9	  16.0265	 6.6071
24	 2375	 102	24.7	  16.0757	 6.4553
25	 2491	  90	19.8	  15.7274	 6.6672
26	 2625	  84	20.3	  15.8512	 6.6963
27	 2836	  85	16.0	  15.8435	 6.4267
28	 2843	  60	13.3	  16.3787	 6.3444
29	 2975	  56	11.7	  15.8844	 6.9257
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3447	  37	17.4	  15.7506	 6.1572
32	 3392	  85	16.8	  15.9654	 5.7755
33	 3779	  51	16.4	  15.8514	 6.2052
34	 3484	  42	17.9	  15.8051	 6.7651
35	 2960	  13	23.2	  15.9316	 6.2623
36	 3636	  26	 9.8	  16.2617	 7.2419
37	 3625	  53	10.5	  16.1321	 6.3106
38	    0	   0	 0.0	   0.0000	 0.0000
